"state","zcta5","cbsa10","stab","cbsaname10","zipname","pop10","afact"
"01","30165","99999","AL","99999","Rome, GA",70,1
"01","31905","17980","AL","Columbus, GA-AL Metropolitan Statistical Area","Cusseta-Chattahoochee County unified, GA",9,1
"01","35004","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Moody, AL",10427,1
"01","35005","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Adamsville, AL",7942,1
"01","35006","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Adger, AL",3113,0.997
"01","35006","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Adger, AL",8,0.003
"01","35007","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Alabaster, AL",26225,1
"01","35010","10760","AL","Alexander City, AL Micropolitan Statistical Area","Alexander City, AL",20551,0.987
"01","35010","33860","AL","Montgomery, AL Metropolitan Statistical Area","Alexander City, AL",265,0.013
"01","35013","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Allgood, AL",124,1
"01","35014","45180","AL","Talladega-Sylacauga, AL Micropolitan Statistical Area","Alpine, AL",4546,1
"01","35016","10700","AL","Albertville, AL Micropolitan Statistical Area","Arab, AL",14585,0.869
"01","35016","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Arab, AL",298,0.018
"01","35016","18980","AL","Cullman, AL Micropolitan Statistical Area","Arab, AL",1895,0.113
"01","35019","18980","AL","Cullman, AL Micropolitan Statistical Area","Baileyton, AL",1662,0.785
"01","35019","19460","AL","Decatur, AL Metropolitan Statistical Area","Baileyton, AL",455,0.215
"01","35020","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Bessemer, AL",27139,1
"01","35022","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Bessemer, AL",18888,1
"01","35023","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Hueytown, AL",25436,1
"01","35031","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Blountsville, AL",7933,1
"01","35032","45180","AL","Talladega-Sylacauga, AL Micropolitan Statistical Area","Bon Air, AL",66,1
"01","35033","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Bremen, AL",310,0.091
"01","35033","18980","AL","Cullman, AL Micropolitan Statistical Area","Bremen, AL",3093,0.909
"01","35034","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Brent, AL",5485,0.99
"01","35034","99999","AL","99999","Brent, AL",56,0.01
"01","35035","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Brierfield, AL",1581,1
"01","35036","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Brookside, AL",297,1
"01","35040","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Calera, AL",14965,1
"01","35042","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Centreville, AL",5831,1
